idx,categoria,Día,fecha,Prediccion_SARIMAX,Test_Real,pred_redondeo_abajo,pred_redondeo_arriba,pred_redondeo_cercano
0,agro_industry_and_commerce,1,2018-08-12,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,2,2018-08-13,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,3,2018-08-14,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,4,2018-08-15,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,5,2018-08-16,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,6,2018-08-17,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,7,2018-08-18,0.8790292998764847,1.0,0.0,1.0,1.0
0,agro_industry_and_commerce,8,2018-08-19,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,9,2018-08-20,0.8790292998764847,3.0,0.0,1.0,1.0
0,agro_industry_and_commerce,10,2018-08-21,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,11,2018-08-22,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,12,2018-08-23,0.8790292998764847,0.0,0.0,1.0,1.0
0,agro_industry_and_commerce,13,2018-08-24,0.8790292998764847,1.0,0.0,1.0,1.0
0,agro_industry_and_commerce,14,2018-08-25,0.8790292998764847,1.0,0.0,1.0,1.0
0,agro_industry_and_commerce,15,2018-08-26,0.8790292998764847,1.0,0.0,1.0,1.0
1,air_conditioning,1,2018-08-11,0.7875098536301348,0.0,0.0,1.0,1.0
1,air_conditioning,2,2018-08-12,0.5579764701640765,0.0,0.0,1.0,1.0
1,air_conditioning,3,2018-08-13,0.637997616853715,0.0,0.0,1.0,1.0
1,air_conditioning,4,2018-08-14,0.6687192723491246,0.0,0.0,1.0,1.0
1,air_conditioning,5,2018-08-15,0.5738875324132955,0.0,0.0,1.0,1.0
1,air_conditioning,6,2018-08-16,0.6351391153078331,0.0,0.0,1.0,1.0
1,air_conditioning,7,2018-08-17,0.637167281340004,4.0,0.0,1.0,1.0
1,air_conditioning,8,2018-08-18,0.6162433241680819,0.0,0.0,1.0,1.0
1,air_conditioning,9,2018-08-19,0.6205391416877069,0.0,0.0,1.0,1.0
1,air_conditioning,10,2018-08-20,0.6258288695394275,0.0,0.0,1.0,1.0
1,air_conditioning,11,2018-08-21,0.6180111570275003,3.0,0.0,1.0,1.0
1,air_conditioning,12,2018-08-22,0.6210781813058802,1.0,0.0,1.0,1.0
1,air_conditioning,13,2018-08-23,0.6224188791310156,0.0,0.0,1.0,1.0
1,air_conditioning,14,2018-08-24,0.6207877486258049,0.0,0.0,1.0,1.0
1,air_conditioning,15,2018-08-25,0.6208409942715027,1.0,0.0,1.0,1.0
2,art,1,2018-08-13,0.8493109408830258,0.0,0.0,1.0,1.0
2,art,2,2018-08-14,0.8586789854551777,1.0,0.0,1.0,1.0
2,art,3,2018-08-15,0.8660115340601866,0.0,0.0,1.0,1.0
2,art,4,2018-08-16,0.8717508608354506,0.0,0.0,1.0,1.0
2,art,5,2018-08-17,0.8762431422518685,1.0,0.0,1.0,1.0
2,art,6,2018-08-18,0.8797593372891105,0.0,0.0,1.0,1.0
2,art,7,2018-08-19,0.8825115307502636,0.0,0.0,1.0,1.0
2,art,8,2018-08-20,0.8846657254884358,0.0,0.0,1.0,1.0
2,art,9,2018-08-21,0.8863518551284738,0.0,0.0,1.0,1.0
2,art,10,2018-08-22,0.8876716212167648,0.0,0.0,1.0,1.0
2,art,11,2018-08-23,0.8887046275090709,0.0,0.0,1.0,1.0
2,art,12,2018-08-24,0.8895131813955597,0.0,0.0,1.0,1.0
2,art,13,2018-08-25,0.8901460520684931,1.0,0.0,1.0,1.0
2,art,14,2018-08-26,0.8906414121123344,0.0,0.0,1.0,1.0
2,art,15,2018-08-27,0.8910291399428834,1.0,0.0,1.0,1.0
3,audio,1,2018-08-14,0.9525076537337347,0.0,0.0,1.0,1.0
3,audio,2,2018-08-15,0.8858539127052638,3.0,0.0,1.0,1.0
3,audio,3,2018-08-16,0.8816126204333667,2.0,0.0,1.0,1.0
3,audio,4,2018-08-17,0.8813427397056223,0.0,0.0,1.0,1.0
3,audio,5,2018-08-18,0.8813255667303735,0.0,0.0,1.0,1.0
3,audio,6,2018-08-19,0.8813244739843988,0.0,0.0,1.0,1.0
3,audio,7,2018-08-20,0.8813244044510915,1.0,0.0,1.0,1.0
3,audio,8,2018-08-21,0.8813244000265674,0.0,0.0,1.0,1.0
3,audio,9,2018-08-22,0.8813243997450273,0.0,0.0,1.0,1.0
3,audio,10,2018-08-23,0.8813243997271124,6.0,0.0,1.0,1.0
3,audio,11,2018-08-24,0.8813243997259724,1.0,0.0,1.0,1.0
3,audio,12,2018-08-25,0.8813243997258999,0.0,0.0,1.0,1.0
3,audio,13,2018-08-26,0.8813243997258953,2.0,0.0,1.0,1.0
3,audio,14,2018-08-27,0.8813243997258949,0.0,0.0,1.0,1.0
3,audio,15,2018-08-28,0.8813243997258949,1.0,0.0,1.0,1.0
4,auto,1,2018-08-14,-3.2936116223665817,2.0,-4.0,-3.0,-3.0
4,auto,2,2018-08-15,0.7833041995691058,-13.0,0.0,1.0,1.0
4,auto,3,2018-08-16,-0.8377788396657212,10.0,-1.0,-0.0,-1.0
4,auto,4,2018-08-17,-1.2481471955617196,-9.0,-2.0,-1.0,-1.0
4,auto,5,2018-08-18,-0.7286229298214354,-2.0,-1.0,-0.0,-1.0
4,auto,6,2018-08-19,-0.3706040633352292,-5.0,-1.0,-0.0,-0.0
4,auto,7,2018-08-20,3.7386693678222422,14.0,3.0,4.0,4.0
4,auto,8,2018-08-21,-0.30688152580401523,-8.0,-1.0,-0.0,-0.0
4,auto,9,2018-08-22,0.5232407844442546,0.0,0.0,1.0,1.0
4,auto,10,2018-08-23,-1.1196991574422903,-3.0,-2.0,-1.0,-1.0
4,auto,11,2018-08-24,-1.1292648749255607,-5.0,-2.0,-1.0,-1.0
